OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-AZ,USGS Arizona Water Science Center,USGS-09427520,"COLORADO RIVER BELOW PARKER DAM, AZ-CA",Stream,,15030104,182700,sq mi,178700,sq mi,34.29557035000000,-114.1402250000000,24000,10,seconds,Interpolated from MAP.,NAD83,300.54,feet,20,feet,Unknown.,NGVD29,US,06,071,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09429100,"COLORADO RIVER BELOW PALO VERDE DAM, AZ-CA",Stream,,15030104,182200,sq mi,178241,sq mi,33.71946626000000,-114.4980105000000,24000,10,seconds,Interpolated from MAP.,NAD83,260.,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,065,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09429490,"COLORADO RIVER ABOVE IMPERIAL DAM, AZ-CA",Stream,,15030104,188500,sq mi,184500,sq mi,32.88493610000000,-114.4681110000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,06,025,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09429600,"COLORADO RIVER BELOW LAGUNA DAM, AZ-CA",Stream,,15030107,188600,sq mi,184600,sq mi,32.81226660000000,-114.5149494000000,24000,10,seconds,Interpolated from MAP.,NAD83,120.81,feet,20,feet,Unknown.,NGVD29,US,06,025,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09525000,"YUMA MAIN CANAL WASTEWAY AT YUMA, AZ",Stream: Canal,,15030107,,,,,32.73338010000000,-114.6230080000000,24000,10,seconds,Interpolated from MAP.,NAD83,122.51,feet,20,feet,Unknown.,NGVD29,US,06,025,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09527000,"PILOT KNOB POWERPLANT AND WASTEWAY NR P.K., CA",Stream,,15030107,,,,,32.73754700000000,-114.7163443000000,24000,10,seconds,Interpolated from MAP.,NAD83,150.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,025,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09530500,"DRAIN 8-B NEAR WINTERHAVEN, CA",Stream,,15030107,,,,,32.74615776000000,-114.6943992000000,24000,10,seconds,Interpolated from MAP.,NAD83,118.,feet,2.5,feet,Interpolated from topographic map.,NGVD29,US,06,025,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-324239114563601,016S020E31Q001S,Well,,18100204,,,,,32.71077075000000,-114.9439690000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,156.4,feet,0.1,feet,Differentially corrected Global Positioning System.,NGVD29,US,06,025,Basin and Range basin-fill aquifers,,,,20050705,46.5,ft,46.5,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-324243114562102,016S020E31R003S,Well,,18100204,,,,,32.71196514000000,-114.9391605000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,160.,feet,2.5,feet,Interpolated from topographic map.,NGVD29,US,06,025,,,,,2017,516,ft,517,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-324248114500601,016S020E58J001S,Well,,18100204,,,,,32.71347869000000,-114.8348635000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,171.8,feet,0.1,feet,Differentially corrected Global Positioning System.,NGVD29,US,06,025,Basin and Range basin-fill aquifers,,,,20110523,148,ft,149,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-324304114480402,016S021E31P002S,Well,,18100204,,,,,32.71771735000000,-114.8019174000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,196.8,feet,0.1,feet,Differentially corrected Global Positioning System.,NGVD29,US,06,025,Basin and Range basin-fill aquifers,,,,19861120,307,ft,348,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-324325114461001,016S021E33E001S,Well,,18100204,,,,,32.72350874000000,-114.7703241000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,206.1,feet,0.1,feet,Differentially corrected Global Positioning System.,NGVD29,US,06,025,Basin and Range basin-fill aquifers,,,,19770708,120,ft,120,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-324342114370101,"COLORADO RIVER BLW YUMA EAST WETLANDS AT YUMA, AZ",Stream,,15030107,,,,,32.72847220000000,-114.6169860000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,117,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,025,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-324355114383301,YUMA WEST WETLANDS RETURN,Stream,,15030107,,,,,32.73201944000000,-114.6423722000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,112,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,025,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-324421114482101,016S021E30E001S,Well,,18100204,,,,,32.73926110000000,-114.8067010000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,227.6,feet,0.1,feet,Differentially corrected Global Positioning System.,NGVD29,US,06,025,Basin and Range basin-fill aquifers,,,Unconfined single aquifer,19981020,219,ft,219,ft,NWIS
